Name	Set	Imagefile	Color	Rarity	Cost	Class	Type	Range	Attack	Support	Skill#1	Skill#2	Skill#3	Skill#4	
Eldigan, Bahara Academy Standout	AD01	AD01-001	Yellow	CustomsAG	1	Cavalier	Male/Sword/Beast	1	40	10	Inheritor of the Demon Sword |AUTO| When this unit’s attack destroys an enemy, choose 1 of your Orbs and look at it.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Eldigan, Torn Warrior	AD01	AD01-002	Yellow	CustomsAG	3(2)	Paladin	Male/Sword/Beast	1	60	10	"I’ll risk my life to save the Fatherland” |CONT| During your turn, if you have 3 or less Orbs, this unit gains +10 Attack.	Honor For Duty |AUTO| [Once Per Turn] [Send 1 card from your hand to the Retreat Area] When this unit is destroyed, you may pay the cost and if you do: Choose 1 "Eldigan" from your Retreat Area and add it to your hand.	-	-
Eldigan, Heir of Crusader Hezul	AD01	AD01-003	Yellow	CustomsAG	5(4)	Paladin	Male/Sword/Beast	1	70	10	Leonine Bloodline |AUTO| At the start of your turn, you may place 1 of your Orbs into your Bond Area. If you do, If you do, choose 1 of your <Yellow> <Beast> Bond cards, and deploy it..	Fury of the Mystletainn |ACT| [Once Per Turn] Resolve the following effects in descending order based on the number of Orbs you have remaining: "***2 or less: Until the end of your opponent's next turn, all <Yellow> <Beast> allies gain +10 attack. ***1 or less: Choose 1 of your <Yellow> <Beast> Bond cards, and deploy it. ***0: Until the end of your opponent's next turn, this unit gains +20 attack, and it cannot be destroyed by the cost or effect of skills." This skill can only be used if you have an "Eldigan" in your Bond Area.	-	-
Eldigan, Heir of Crusader Hezul+	AD01	AD01-003+	Yellow	CustomsAG+	5(4)	Paladin	Male/Sword/Beast	1	70	10	Leonine Bloodline |AUTO| At the start of your turn, you may place 1 of your Orbs into your Bond Area. If you do, If you do, choose 1 of your <Yellow> <Beast> Bond cards, and deploy it..	Fury of the Mystletainn |ACT| [Once Per Turn] Resolve the following effects in descending order based on the number of Orbs you have remaining: "***2 or less: Until the end of your opponent's next turn, all <Yellow> <Beast> allies gain +10 attack. ***1 or less: Choose 1 of your <Yellow> <Beast> Bond cards, and deploy it. ***0: Until the end of your opponent's next turn, this unit gains +20 attack, and it cannot be destroyed by the cost or effect of skills." This skill can only be used if you have an "Eldigan" in your Bond Area.	-	-
Lachesis, Lady of Nordion	AD01	AD01-004	Yellow	CustomsAG	1	Princess	Female/Sword	1	40	20	[BS] Pride of the Hezul Bloodline |BOND| |AUTO| When this card is placed in your Bond Area, choose up to 1 allied "Eldigan". Until the end of the turn, that unit gains +10 attack.	-	-	|ATK SUPP| Tandem Emblem: Until the end of this combat, your <Yellow> attacking unit gains +10 Attack.
Lachesis, Leonine Battle Maiden	AD01	AD01-005	Yellow	CustomsAG	4(3)	Master Knight	Female/Sword/Beast	1	70	20	Bequeathed Earth Sword |CONT| If you have 3 or less Orbs, this unit cannot be destroyed by the effect of skills and acquires <Tome> and range 1-2.	Unfailiable Love |AUTO| [Flip 2 Bonds face-down] At the end of your opponent’s turn, you may pay the cost and if you do: Add the top card of your Deck into your Orbs. You can only activate this skill if you have no orbs and if your Main Character is "Lachesis" or "Eldigan"	[BS] The Lionheart's Sister |BOND| |CONT| This card cannot be flipped face down by the cost or effect of an enemy’s skill.	 
Lachesis, Leonine Battle Maiden+	AD01	AD01-005+	Yellow	CustomsAG+	4(3)	Master Knight	Female/Sword/Beast	1	70	20	Bequeathed Earth Sword |CONT| If you have 3 or less Orbs, this unit cannot be destroyed by the effect of skills and acquires <Tome> and range 1-2.	Unfailiable Love |AUTO| [Flip 2 Bonds face-down] At the end of your opponent’s turn, you may pay the cost and if you do: Add the top card of your Deck into your Orbs. You can only activate this skill if you have no orbs and if your Main Character is "Lachesis" or "Eldigan"	[BS] The Lionheart's Sister |BOND| |CONT| This card cannot be flipped face down by the cost or effect of an enemy’s skill.	 
Ares, Rogue Black Knight	AD01	AD01-006	Yellow	CustomsAG	2	Cavalier	Male/Sword/Beast	1	50	10	Inherited Demon Blade |AUTO| When this unit is deployed, until the end of this turn, the number of Orbs this unit's attack will destroy becomes 2.	Steadfast |CONT| During your turn, if you have 1 or more Bonds with the same Unit Name as your Main Character, this unit gains +10 attack.	-	-
Ares, Reawakened Lion	AD01	AD01-007	Yellow	CustomsAG	4(3)	Paladin	Male/Sword/Beast	1	70	10	Charging Black Knight |AUTO| When this unit is deployed by a skill, this unit's attacks destroy an additional Orb until the end of the turn. If you have 3 or less Orbs, then until the end of your opponent's next turn, this unit gains +20 attack.	Mysteltainn Reborn |AUTO| [Once Per Turn] [Flip 1 Bond face-down with the same Unit Name as your Main Character] When this unit's attack fails to destroy an enemy, you may pay the cost and if you do: Untap this unit.	-	-
Ares, Reawakened Lion+	AD01	AD01-007+	Yellow	CustomsAG+	4(3)	Paladin	Male/Sword/Beast	1	70	10	Charging Black Knight |AUTO| When this unit is deployed by a skill, this unit's attacks destroy an additional Orb until the end of the turn. If you have 3 or less Orbs, then until the end of your opponent's next turn, this unit gains +20 attack.	Mysteltainn Reborn |AUTO| [Once Per Turn] [Flip 1 Bond face-down with the same Unit Name as your Main Character] When this unit's attack fails to destroy an enemy, you may pay the cost and if you do: Untap this unit.	-	-
