Name	Set	Imagefile	Color	Rarity	Cost	Class	Type	Range	Attack	Support	Skill#1	Skill#2	Skill#3	Skill#4	
Fae, Playful Protector	SC01	SC01-007	Colorless	Custom	3	Manakete	Female/Dragonstone/Dragon	1	50	20	Guardian of Arcadia |CONT| All <Dragonstone> allies cannot be destroyed by the effect of enemy skills.	Unending Life |AUTO| [Once Per Turn] When this unit is being attacked, until the end of this combat, this unit gains +30 attack.	-	-
Jahn, The Last Dragon	SC01	SC01-008	Purple	Custom	4	Manakete	Purple/Male/Dragonstone/Dragon	1	80	0	Scars from Humanity |SPEC| You cannot deploy this unit if you have a non-<Dragonstone> ally.	Overwhelming Power |AUTO| [Flip 2 Bonds face-down] When this unit's attack destroys your opponent's Main Character, you may pay the cost and if you do: their Orb is sent to the Retreat Area instead of being destroyed.	-	|ATK/DEF SUPP| Forged in Flames: If there are no non-<Dragonstone> allies, until the end of this combat, your unit in combat gains +20 attack.
Idunn, Alone in the Dark	SC01	SC01-009	Purple	Custom	4	Demon Dragon	Purple/Female/Dragonstone/Dragon	1	70	0	Gathering Darkness |AUTO| When this unit is Leveled Up into, you may choose up to 3 <Dragonstone> cards with different names from your Retreat Area and place them on top of your Deck in any order.	War Dragons' Matron |ACT| [Once Per Turn] [Flip 2 Bonds face-down] Reveal the top 3 cards of your Deck. You may choose up to 2 <Dragonstone> cards with different names from among them, and add them to your hand. Place the rest on top of your Deck in any order.	-	|ATK SUPP| Soul of a Dragon: Until the end of this combat, your <Dragonstone> attacking unit gains +30 attack.
Idunn, Ancient Divine Dragon	SC01	SC01-010	Purple	Custom	1	Divine Dragon	Purple/Female/Dragonstone/Dragon	1	30	20	Heart of the Divine |AUTO| [Tap this unit] At the end of your turn, you may pay the cost and if you do: Until the end of your opponent's next turn, this unit gains +20 attack.	-	-	|ATK SUPP| Dragonblood Emblem: If you have as many as or fewer Bond cards as your opponent, you may choose 1 card from your hand, and place it in the Bond Area.
Troude, Perceptive Blade	SC01	SC01-011	Yellow	Custom	4(3)	Swordmaster	Male/Sword	1	70	10	Silver-Edged Nihil |AUTO| [Flip 1 <Yellow> Bond card face-down] When this unit attacks your opponent's Main Character, you may pay the cost and if you do: Choose 1 non-Main Character enemy, until the end of your opponent's next turn that enemy loses all non-|SPEC| skills, and cannot reacquire them.	Rogue-Guard's Rallying Cry |ACT| [Once Per Turn] Reveal the topmost card of your opponent's Deck. If that card has a Deployment Cost of 3 or higher, choose 1 <Yellow> ally who has not attacked this turn, and untap them.	-	-
Troude, Sharp Eyed Guardian	SC01	SC01-012	Yellow	Custom	3(2)	Swordmaster	Male/Sword	1	60	10	[BS] Slashed Pockets |BOND| |ACT| [Send this card to your Retreat Area] Choose 2 of your face-down Bond cards, and flip them face-up. This skill can only be used if the topmost card of your opponent's Deck has been revealed 3 or times this turn via a skill's effect.	-	-	-
Troude, Swordsman of the Dandelion Thieves	SC01	SC01-013	Yellow	Custom	1	Myrmidon	Male/Sword	1	40	10	Stoic Nature |CONT| If no skills have been used this turn, this unit gains +10 attack.	-	-	|ATK SUPP| Attack Emblem: Until the end of this combat, your attacking unit gains +20 attack.
Salem, Shadow Shrouded Honor	SC01	SC01-014	Yellow	Custom	3(2)	Dark Mage	Male/Tome	1-2	50	20	Sleep |ACT| [Tap this unit] Choose 1 non-Main Character enemy. Until the end of your opponent's next turn, that enemy cannot be untapped.	[BS] Magician of The Thieves |BOND| |AUTO| When this card is placed in your Bond Area. Reveal the topmost card of your opponent's Deck.	-	-
Salem, Former Priest of Loptyr	SC01	SC01-015	Yellow	Custom	1	Loptyr Mage	Male/Tome	1-2	30	20	Shining neath Shadows |CONT| The support skills of cards that are supporting enemies with a Deployment Cost of 1 are unable to come into effect.	-	-	|ATK SUPP| Sealspell Emblem: Until the end of this combat, any Support skills that your opponent's Support card possesses are unable to come into effect.
Keaton, Wolf in Fox’s Clothing	SC01	SC01-016	White/Black	Custom	4(3)	Wolfssegner	Male/Fang/Beast	1	70	10	“If you die on me, I'll kill you!” |AUTO| [Once Per Turn] When another ally is destroyed, draw 1 card.	Front of the Pack |AUTO| When this unit is Class Changed into, you may choose 1 card with a Deployment Cost of 3 or less from your hand, and deploy it tapped.	-	-
Ares, The Black Knight-King	SC01	SC01-017	Yellow	Custom	5(4)	Agustrian King	Male/Sword/Beast	1	70	20	Destruction Demon Sword |ACT| [Once Per Turn] [Send 1 of your Bond cards to the Retreat Area] Choose 1 non-Main Character enemy, and destroy them. This skill can only be used if you have 2 or more “Ares” Bond cards.	Nordion Legacy |CONT| During your turn, if you have 2 or more Bond cards with the same Unit Name as your Main Character, this unit gains +20 attack, and the number of Orbs that this unit’s attack will destroy becomes 2.	-	-
