Name	Set	Imagefile	Color	Rarity	Cost	Class	Type	Range	Attack	Support	Skill#1	Skill#2	Skill#3	Skill#4	
Marth, Savior of His Realm	B01	B01-001SR_SAMPLE	Red	SR	5(4)	Lodestar	Male/Sword	1	70	20	Hero's Paean |ACT|  [Flip 3 Bonds face-down, Send 1 "Marth" from your hand to the Retreat Area] Until the end of your opponent’s next turn, all allies gain +30 attack.	Falchion |CONT| If this unit is attacking a <Dragon>, this unit gains +20 attack.	-	-	
Marth, Savior of His Realm+	B01	B01-001SRplus_SAMPLE	Red	SR+	5(4)	Lodestar	Male/Sword	1	70	20	Hero's Paean |ACT|  [Flip 3 Bonds face-down, Send 1 "Marth" from your hand to the Retreat Area] Until the end of your opponent’s next turn, all allies gain +30 attack.	Falchion |CONT| If this unit is attacking a <Dragon>, this unit gains +20 attack.	-	-	
Marth, Prince of a Fallen Land	B01	B01-002N_SAMPLE	Red	N	2	Lord	Male/Sword	1	50	20	Hero's Disposition |CONT| If you have 2 or more other <Red> allies, this unit gains +10 attack.	-	-	-	
Marth, Altean Prince	B01	B01-003HN_SAMPLE	Red	HN	1	Lord	Male/Sword	1	40	20	Young Hero |ACT| [Tap this unit, Tap 1 other ally] Choose 1 enemy, and move them. This skill may only be used if this unit is in the Front Line.	-	-	|ATK SUPP| Hero Emblem: Until the end of this combat, the number of Orbs that your <Red> attacking unit's attack will destroy becomes 2.	
Marth, Altean Prince+	B01	B01-003STplus_SAMPLE	Red	ST+	1	Lord	Male/Sword	1	40	20	Young Hero |ACT| [Tap this unit, Tap 1 other ally] Choose 1 enemy, and move them. This skill may only be used if this unit is in the Front Line.	-	-	|ATK SUPP| Hero Emblem: Until the end of this combat, the number of Orbs that your <Red> attacking unit's attack will destroy becomes 2.	
Caeda, Love-Extolling Wings	B01	B01-004SR_SAMPLE	Red	SR	4(3)	Falcon Knight	Female/Lance/Flier/Beast	1	60	30	Persuasion |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Choose 1 non-"Caeda"  <Red> card from your Deck, reveal it, and add it in your hand. Aftewards, shuffle your Deck.	Heavens Flier |ACT| [Once Per Turn] Move this unit. This skill is only usable if this unit is untapped.	-	-	
Caeda, Love-Extolling Wings+	B01	B01-004SRplus_SAMPLE	Red	SR+	4(3)	Falcon Knight	Female/Lance/Flier/Beast	1	60	30	Persuasion |AUTO| [Flip 1 Bond face-down] When this unit's attack destroys an enemy, you may pay the cost and if you do: Choose 1 non-"Caeda"  <Red> card from your Deck, reveal it, and add it in your hand. Aftewards, shuffle your Deck.	Heavens Flier |ACT| [Once Per Turn] Move this unit. This skill can only be used if this unit is untapped.	-	-	
Caeda, Soul-Soothing Wings	B01	B01-005N_SAMPLE	Red	N	2	Pegasus Knight	Female/Lance/Flier/Beast	1	40	30	Wing Spear |CONT| If this unit is attacking a <Beast> or <Armored>, this unit gains +20 attack.	Winged Deliverer |ACT| [Tap this unit] Choose 1 other ally, and move them.	-	-	
Caeda, Talys's Heart	B01	B01-006HN_SAMPLE	Red	HN	1	Pegasus Knight	Female/Lance/Flier/Beast	1	30	30	Princess's Charisma |ACT| [Tap this unit, Tap 1 other ally] Choose 1 other ally. Until the end of the turn, that unit gains +10 attack.	-	-	|ATK SUPP| Flying Emblem: Choose 1 ally, other than your attacking unit. You may move that ally.	
Cain, Knight Hailed as the Bull	B01	B01-007R_SAMPLE	Red	R	3(2)	Paladin	Male/Sword/Beast	1	60	10	Paladin's Protection |CONT| Enemies in the Back Line cannot attack this unit or allies with a Deployment Cost of 2 or lower.	Red-Green Twin Strike |AUTO| [Tap allied "Abel"] When this unit attacks, you may pay the cost and if you do: Until the end of the turn, this unit gains +40 attack.	-	-	
